order_book_id,date,low,num_trades,high,open,close,volume,total_turnover
000906.XSHG,2017-05-09,3777.8994,0.0,3818.1996,3796.0729,3814.7654,13149866200.0,148251784467.8
000906.XSHG,2017-05-10,3778.7651,0.0,3831.5891,3813.0089,3779.6567,15472828900.0,173662173345.3
000906.XSHG,2017-05-11,3731.676,0.0,3795.1249,3762.324,3792.5752,18230720400.0,189164774802.2
000906.XSHG,2017-05-12,3782.7396,0.0,3820.3595,3785.5182,3814.2126,15007209400.0,160128936456.4
000906.XSHG,2017-05-15,3822.3362,0.0,3840.1815,3822.3362,3830.8388,13270354400.0,151095169154.2
000906.XSHG,2017-05-16,3800.2739,0.0,3877.0737,3822.0985,3876.8818,17866903100.0,196850202509.8
000906.XSHG,2017-05-17,3862.1053,0.0,3888.7002,3870.9491,3864.1228,17288374500.0,195142142744.4
000906.XSHG,2017-05-18,3831.8866,0.0,3864.3808,3837.9588,3845.1253,14582171500.0,159062906831.5
000906.XSHG,2017-05-19,3834.3422,0.0,3853.4833,3842.3295,3849.5271,12654167700.0,143066044503.5
000906.XSHG,2017-05-22,3821.8103,0.0,3867.8003,3844.5634,3839.7327,15343369800.0,165122249577.6
000906.XSHG,2017-05-23,3816.1257,0.0,3857.5504,3833.0085,3827.5281,18182968000.0,197547306194.3
000906.XSHG,2017-05-24,3777.4411,0.0,3833.8,3811.3348,3833.8,14168400800.0,155465386085.6
000906.XSHG,2017-05-25,3822.4798,0.0,3896.9296,3823.9347,3893.0179,20140558800.0,211985908761.0
000906.XSHG,2017-05-26,3879.778,0.0,3906.5898,3886.7975,3886.2502,16249735200.0,178278406390.4
000906.XSHG,2017-05-31,3884.1602,0.0,3923.8094,3907.4405,3893.9788,16330751300.0,182190031004.0
000906.XSHG,2017-06-01,3873.4162,0.0,3892.4476,3885.2703,3877.0124,16340662900.0,181579030137.2
000906.XSHG,2017-06-02,3844.8139,0.0,3885.2915,3869.623,3879.3699,14153685700.0,154413247878.2
